NAAM;NED_NAAM;ID
Phyllonomaceae;;5
Physenaceae;;16
Phytolaccaceae;Karmozijnbesfamilie;16
Picramniaceae;;54
Picrodendraceae;;45
Pinaceae;Dennenfamilie;55
Piperaceae;;56
Pittosporaceae;;4
Plantaginaceae;Weegbreefamilie;41
Platanaceae;;58
Plocospermataceae;;41
Plumbaginaceae;Strandkruidfamilie;16
Poaceae;;57
Podocarpaceae;;55
Podostemaceae;;45
Polemoniaceae;Vlambloemfamilie;29
Polygalaceae;Vleugeltjesbloemfamilie;31
Polygonaceae;Duizendknoopfamilie;16
Pontederiaceae;Pontederiafamilie;20
Portulacaceae;Posteleinfamilie;16
Posidoniaceae;;2
Potamogetonaceae;Fonteinkruidfamilie;2
Primulaceae;Sleutelbloemfamilie;29
Proteaceae;;58
Putranjivaceae;;45
Quillajaceae;;31
Rafflesiaceae;;45
Ranunculaceae;Ranonkelfamilie;59
Rapateaceae;;57
Resedaceae;Resedafamilie;12
Restionaceae;;57
Rhabdodendraceae;;16
Rhamnaceae;Wegedoornfamilie;60
Rhizophoraceae;;45
Ripogonaceae;;43
Roridulaceae;;29
Rosaceae;Rozenfamilie;60
Rousseaceae;;8
Rubiaceae;Sterbladigenfamilie;34
Ruppiaceae;Ruppiafamilie;2
Rutaceae;Wijnruitfamilie;62
Sabiaceae;;58
Salicaceae;Wilgenfamilie;45
Salvadoraceae;;12
Santalaceae;Sandelhoutfamilie;61
Sapindaceae;Zeepboomfamilie;62
Sapotaceae;;29
Sarcobataceae;;16
Sarcolaenaceae;;46
Sarraceniaceae;;29
Saururaceae;;56
Saxifragaceae;Steenbreekfamilie;63
Scheuchzeriaceae;Scheuchzeriafamilie;2
Schisandraceae;;9
Schlegeliaceae;;41
Schoepfiaceae;;61
Sciadopityaceae;;55
Scrophulariaceae;Helmkruidfamilie;41
Setchellanthaceae;;12
Simaroubaceae;Hemelboomfamilie;62
Simmondsiaceae;;16
Siparunaceae;;42
Sladeniaceae;;29
Smilacaceae;;43
Solanaceae;Nachtschadefamilie;64
Sphaerosepalaceae;;46
Sphenocleaceae;;64
Stachyuraceae;;22
Staphyleaceae;Pimpernootfamilie;22
Stegnospermataceae;;16
Stemonaceae;;51
Stemonuraceae;;5
Stilbaceae;;41
Strasburgeriaceae;;22
Strelitziaceae;;69
Stylidiaceae;;8
Styracaceae;;29
Surianaceae;;31
Symplocaceae;;29
Talinaceae;;16
Tamaricaceae;Tamariskfamilie;16
Tapisciaceae;;39
Taxaceae;Taxusfamilie;55
Tecophilaeaceae;;7
Tetracarpaeaceae;;63
Tetrachondraceae;;41
Tetramelaceae;;23
Tetrameristaceae;;29
Theaceae;;29
Thomandersiaceae;;41
Thurniaceae;;57
Thymelaeaceae;Peperboompjesfamilie;46
Ticodendraceae;;32
Tofieldiaceae;;2
Torricelliaceae;;4
Tovariaceae;;12
Trigoniaceae;;45
Trimeniaceae;;9
Triuridaceae;;51
Trochodendraceae;;65
Tropaeolaceae;;12
Typhaceae;Lisdoddefamilie;57
Ulmaceae;Iepenfamilie;60
Urticaceae;Brandnetelfamilie;60
Vahliaceae;;66
Velloziaceae;;51
Verbenaceae;;41
Viburnaceae;;27
Violaceae;Viooltjesfamilie;45
Vitaceae;Wijnstokfamilie;67
Vochysiaceae;;48
Welwitschiaceae;;68
Winteraceae;;15
Xeronemataceae;;7
Xyridaceae;;57
Zamiaceae;;24
Zingiberaceae;;69
Zosteraceae;Zeegrasfamilie;2
Zygophyllaceae;;70
