NAAM;FAMILIE_ID
Agathophyllum;219
Agathosma;350
Agathotes;167
Agathyrsus;
Agati;
Agation;418
Agauria;149
Agave;35
Agdestis;312
Agelaea;104
Agelanthus;232
Agenium;322
Ageratella;
Ageratina;
Ageratinastrum;
Ageratum;
Ageria;28
Agiabampoa;
Agialida;428
Agianthus;60
Aglaia;247
Aglaodorum;29
Aglaomorpha;
Aglaonaria;
Aglaonema;29
Aglitheis;15
Aglossorrhyncha;282
Agnesia;322
Agnirictus;7
Agnorhiza;
Agonandra;281
Agonis;266
Agoseris;
Agouticarpa;348
Agraulus;322
Agretta;202
Agrianthus;
Agrimonia;346
Agriophyllum;14
Agriphyllum;
Agrocharis;24
Agroelymus;322
Agrohordeum;322
Agropogon;322
Agropogon;322
Agropyrohordeum;322
Agropyron;322
Agropyropsis;322
Agrositanion;322
Agrostemma;86
Agrostis;322
Agrostistachys;154
Agrostocrinum;
Agrostophyllum;282
Agrostopoa;322
Agrotrigia;322
Agrotriticum;322
Aguiaria;238
Agyneia;309
Ahernia;352
Ahouai;25
Ahzolia;115
Aichryson;111
Aidema;15
Aidia;348
Aidiopsis;348
Ailanthus;369
Ailantopsis;247
Ailuroschia;
Aimorra;
Ainsliaea;
Ainsliea;
Ainsworthia;24
Aiouea;219
Aiphanes;32
Aira;322
Airampoa;70
Airochloa;322
Airopsis;322
Airosperma;348
Airyantha;
Aistopetalum;116
Aitchisoniella;
Aizoanthemum;7
Aizodraba;60
Aizoon;7
Aizopsis;111
Ajania;
Ajaniopsis;
Ajuga;216
Ajugoides;216
Akania;8
Akeassia;
Akebia;218
Akrosida;238
Akschindlium;
Alafia;25
Alagophylla;170
Alamania;282
Alangium;107
Alania;59
Alansmia;
Alantsilodendron;
Alaternus;342
Alaticaulia;282
Alatiliparis;282
Alatoseta;
Alberta;348
Albertia;24
Albertinia;
Albertisia;248
Albertokuntzea;312
Albidella;9
Albizia;
Albovia;24
Alboviodoxa;
Albrandia;258
Albraunia;318
Albuca;35
Albugoides;35
Alcalthaea;238
Alcantarea;61
Alcea;238
Alchemilla;346
Alchornea;154
Alchorneopsis;154
Alcicornium;
Aldama;
Aldina;
Aldrovanda;140
Alectorolophus;283
Alectra;283
Alectryon;355
Aleisanthia;348
Aleisanthiopsis;348
Alepidea;24
Alepidocline;
Alepis;232
Alepyrum;
Aletes;24
Aletris;267
Aleurites;154
Aleuritia;332
Aleuritopteris;
Alexa;
Alexeya;337
Alexfloydia;322
Alexgeorgea;340
Alexitoxicon;25
Alfaroa;208
Alfaropsis;208
Alfredia;
Algaria;
Algernonia;154
Algrizea;266
Alguelagum;216
Alhagi;
Alibertia;348
Alibrexia;374
Alicabon;374
Alicia;237
Aliciella;325
Aliconia;
Alicularia;
Aliella;
Alifana;246
Alifiola;86
Aligera;81
Aligrimmia;
Alinula;123
Aliopsis;167
Alisma;9
Alismorchis;282
Alistilus;
Alkanna;58
Alkekengi;374
Alkibias;
Allaganthera;14
Allagopappus;
Allagoptera;32
Allamanda;25
Allanblackia;99
Allantodia;
Allantoma;220
Allantospermum;206
Allardia;
Allasia;216
Alleizettea;348
Alleizettella;348
Alleniella;
Allenrolfea;14
Allexis;418
Alliaria;60
Alliaria;247
Allionia;273
Allioniella;
Allioniellopsis;
Allisonia;
Allisoniella;
Allittia;
Allium;15
Allmania;14
Allmaniopsis;14
Allocalyx;318
Allocarpus;
Allocarya;58
Allocaryastrum;58
Allocassine;88
Allocasuarina;87
Allocephalus;
Allocheilos;170
Allochlamys;14
Allochrusa;86
Alloeochaete;322
Allohemia;232
Alloispermum;
Allolepis;322
Allomaieta;246
Allomarkgrafia;25
Allomorphia;246
